,com_1,com_2,com_3,com_4,com_5,com_6,sp1_1,sp1_2,sp1_3,sp1_4,sp2_1,sp2_2,sp2_3,sp2_4
56,-0.08587396,-0.8578023,0.6313335,-0.28206146,-0.24205667,-0.11747615,-13.194834,-16.930788,-0.61366725,-13.602965,3.3540413,4.318494,3.545872,10.199795
57,0.1293234,-0.24901804,0.46352226,0.5318845,-0.6147042,-0.26363856,5.6934013,0.43849632,-1.5701566,-3.0173824,2.044542,0.05047177,-0.13389066,1.7743282
58,-0.08624598,-0.4543561,0.13832745,-0.04522495,0.20839518,-0.16475195,-0.9789449,2.0893617,1.202599,1.2841417,5.2341228,1.479864,0.5147805,1.2525859
59,0.20048788,-0.42942306,-0.087490015,-0.348673,0.002188228,-0.13557953,-2.3511703,12.367638,-1.9541575,-1.4658408,-0.41784018,-5.8481593,3.779322,5.403598
60,-0.72478265,-0.36274368,-0.27628258,-0.4921572,0.024223506,-0.24069588,3.5775905,-1.6847603,-1.3847039,3.2331076,-0.6334472,-1.4428564,-3.1248038,2.3266592
61,-0.18142496,-0.28014204,0.054449655,-0.66498184,-0.1612299,-0.14334695,3.7247438,-1.202842,-0.6280529,5.378868,-1.1180393,5.1374125,-7.81746,2.204003
62,0.17695615,-0.49629635,0.29224256,-0.85130507,-0.34659043,1.665167,2.6229026,0.030230865,1.7191138,1.8611656,-7.3520107,4.7143416,-11.427833,4.400149
63,-0.59468865,0.045194395,-0.19073987,-0.6609635,-0.4667862,0.3273728,-2.3426676,-6.616512,1.3661855,-0.7783406,-9.799512,-8.56272,5.756071,1.7408006
64,-0.8902957,-1.0651025,0.45026296,-0.54035306,-0.10682261,0.5394989,-3.1058862,-5.9358716,-3.8580494,-5.3171606,12.20455,2.3461752,1.2851038,4.0141325
65,-0.025057822,-0.48606402,0.42954242,-0.50665426,-1.0648775,0.5541914,-3.7108927,0.6617847,0.9774702,-2.807023,1.6819003,0.8409041,-0.5397663,1.8860195
66,-0.2176626,0.2997001,-0.32238948,-0.56440604,-0.12352766,-0.5268687,-4.9603233,-2.7295265,0.5425256,-0.5349448,1.6539966,1.6859914,2.900741,3.031817
67,-0.22511888,-0.63792247,0.72793424,-0.7768135,-0.05366662,-0.6829143,-6.1828766,1.3965402,3.1191256,3.2748206,1.9082278,3.9532628,1.6924417,3.8737333
68,-0.5665852,-0.35972053,0.15987237,-0.6395707,-0.11156355,-0.41163617,6.3358383,10.068054,1.7151005,-2.3770878,-5.1492267,3.5812626,-12.460117,4.7974124
69,-0.34770024,0.25447607,0.49584118,-0.26710778,-0.121401325,0.38693127,1.3293107,2.0344567,1.0759826,-1.4560491,-4.080333,-4.599682,1.3006319,-20.521576
70,0.19087711,0.12203017,0.57153106,-0.37098533,-0.4565764,0.33436978,-2.2816486,-1.053076,3.1641119,1.7060539,-0.86963844,2.3534913,2.0450726,1.2836249
71,-0.13699724,-0.51489043,0.33589852,-0.69492006,-0.5050563,0.1682401,6.0209856,14.911644,-6.002651,-28.689837,3.3486528,-1.8545244,-4.424133,4.497008
72,-0.4870326,-0.3288206,0.67968017,-0.1595078,-0.24803722,-0.72426295,-2.0985143,-1.955007,-2.069558,1.918217,-3.551722,-6.4393816,3.1892357,10.417165
73,-0.5421333,-0.95522594,0.27088144,-0.15536836,-0.28348625,-0.387053,-4.6784115,-1.0508674,-7.232774,3.1494517,5.078595,-0.3739168,1.0372795,1.4588295
74,-0.80134547,-0.40502608,0.352843,-0.7875047,-1.1052918,0.1293776,-8.343155,11.339991,-31.488869,-14.191322,-4.1226444,3.499721,-2.4474306,-2.3892615
75,-0.13971508,-0.20593557,-0.0037377551,-0.7060057,0.085579515,-0.12181416,-2.5484672,3.9544926,-3.3602812,8.812518,5.318717,-7.402505,-6.1381955,-1.4498942
76,-0.09996948,-0.7595929,-0.029946595,-0.073654205,0.72860694,0.3901057,-0.31426984,-1.2780542,-6.3808684,-2.0861106,-0.86578614,1.587349,0.21755223,4.366058
